0.05	-0.032	0.00066	-0.0074	0.00023	-0.0017	-0.03	0.086	-0.0021	0.44	0.048	-4.6e-06
0.049	-0.031	0.00051	0.091	-0.052	-0.0013	-0.025	0.083	-0.0021	0.44	0.049	-7.7e-06
0.056	-0.035	0.0004	0.013	0.039	-0.0009	-0.02	0.079	-0.002	0.44	0.051	-1e-05
0.057	-0.031	0.00032	-0.045	0.039	-0.0005	-0.014	0.076	-0.002	0.44	0.052	-1.2e-05
0.052	-0.028	0.00029	-0.021	0.067	-0.0002	-0.009	0.073	-0.0019	0.44	0.054	-1.3e-05
0.05	-0.022	0.00028	-0.088	0.043	0.00013	-0.0039	0.07	-0.0019	0.44	0.055	-1.4e-05
0.041	-0.018	0.00031	-0.036	-0.077	0.0003	0.00065	0.068	-0.0019	0.44	0.056	-1.3e-05
0.037	-0.027	0.00033	0.016	-0.081	0.00022	0.0046	0.066	-0.0019	0.44	0.057	-1.2e-05
0.038	-0.035	0.00035	-0.082	-0.11	3.2e-05	0.0083	0.063	-0.0018	0.44	0.057	-1.1e-05
0.031	-0.045	0.00033	0.051	-0.064	-0.0002	0.012	0.059	-0.0018	0.44	0.058	-9.4e-06
0.035	-0.051	0.0003	-0.069	-0.078	-0.0004	0.015	0.054	-0.0018	0.44	0.058	-8.2e-06
0.028	-0.058	0.00025	-0.11	-0.14	-0.0006	0.018	0.049	-0.0017	0.44	0.059	-7.1e-06
0.018	-0.07	0.00016	-0.18	-0.12	-0.0009	0.021	0.042	-0.0017	0.44	0.059	-6.9e-06
0.0011	-0.081	5.1e-05	-0.12	-0.1	-0.0012	0.021	0.035	-0.0017	0.43	0.059	-8.1e-06
-0.0099	-0.089	-7.5e-05	-0.04	-0.12	-0.0013	0.021	0.026	-0.0017	0.43	0.058	-1e-05
-0.013	-0.098	-0.00021	0.085	-0.046	-0.0013	0.02	0.017	-0.0017	0.43	0.056	-1.2e-05
-0.0046	-0.099	-0.00032	0.03	0.11	-0.00098	0.019	0.0071	-0.0017	0.42	0.055	-1e-05
-0.0015	-0.087	-0.00039	0.022	0.17	-0.0004	0.019	-0.0022	-0.0018	0.42	0.054	-5.3e-06
0.00076	-0.069	-0.0004	0.0011	0.11	0.00018	0.019	-0.01	-0.0018	0.42	0.054	-5.8e-07
0.00087	-0.058	-0.00036	0.044	0.15	0.00057	0.019	-0.016	-0.0018	0.41	0.054	2.7e-06
0.0049	-0.043	-0.00029	0.12	0.14	0.00095	0.019	-0.021	-0.0019	0.41	0.055	4.1e-06
0.015	-0.029	-0.00018	0.096	0.15	0.0012	0.02	-0.025	-0.0019	0.41	0.056	3.9e-06
0.023	-0.016	-3.9e-05	0.04	0.085	0.0015	0.022	-0.027	-0.0019	0.42	0.057	2.4e-06
0.026	-0.0086	0.00011	0.017	0.1	0.0016	0.024	-0.028	-0.0019	0.42	0.059	7.9e-07
0.027	0.00041	0.00027	-0.085	0.067	0.0016	0.027	-0.029	-0.0019	0.42	0.061	5e-07
0.018	0.0057	0.00043	-0.1	0.071	0.0015	0.029	-0.029	-0.0019	0.42	0.063	1.8e-06
0.008	0.011	0.00057	-0.19	0.072	0.0013	0.031	-0.028	-0.0018	0.42	0.064	4.7e-06
-0.0094	0.017	0.00068	-0.16	0.049	0.001	0.031	-0.026	-0.0017	0.42	0.064	8.2e-06
-0.024	0.02	0.00077	-0.11	0.045	0.00068	0.029	-0.024	-0.0017	0.43	0.063	1.1e-05
-0.034	0.024	0.00082	0.018	-0.02	0.00041	0.026	-0.022	-0.0016	0.43	0.062	1.3e-05
-0.032	0.021	0.00085	0.038	0.03	0.00017	0.023	-0.02	-0.0015	0.43	0.06	1.3e-05
-0.027	0.023	0.00086	0.043	0.014	2.6e-05	0.02	-0.018	-0.0014	0.43	0.059	1.1e-05
-0.028	0.15	0.00098	-0.1	2.1	0.0025	0.017	-0.012	-0.0013	0.44	0.058	8.7e-06
-0.037	0.34	0.0012	-0.15	1.7	0.0019	0.014	0.012	-0.0012	0.45	0.056	1.3e-05
-0.05	0.49	0.0015	-0.13	1.3	0.0054	0.0095	0.054	-0.0011	0.48	0.054	3.4e-05
-0.061	0.59	0.0024	-0.11	0.7	0.013	0.0039	0.11	-0.00091	0.52	0.052	6.3e-05
-0.07	0.63	0.0042	-0.14	0.15	0.023	-0.0027	0.17	-0.00058	0.56	0.048	7.7e-05
-0.082	0.62	0.0069	-0.12	-0.41	0.029	-0.01	0.23	-3.4e-05	0.6	0.045	6.2e-05
-0.091	0.55	0.0098	-0.11	-0.94	0.028	-0.019	0.29	0.0008	0.64	0.04	1.5e-05
-0.099	0.44	0.012	-0.16	-1.3	0.019	-0.029	0.34	0.0019	0.67	0.035	-6.6e-05
-0.11	0.31	0.013	-0.13	-1.4	0.0048	-0.039	0.38	0.0032	0.69	0.03	-0.00017
-0.12	0.17	0.013	0.039	-1.4	-0.01	-0.051	0.4	0.0045	0.69	0.024	-0.00028
-0.11	0.037	0.011	0.079	-1.2	-0.023	-0.063	0.41	0.0058	0.69	0.018	-0.00036
-0.1	-0.068	0.0087	0.17	-0.9	-0.03	-0.074	0.41	0.0068	0.68	0.012	-0.00041
-0.086	-0.14	0.0056	0.21	-0.63	-0.031	-0.083	0.4	0.0075	0.66	0.0078	-0.0004
-0.065	-0.19	0.0026	0.35	-0.38	-0.029	-0.091	0.38	0.0079	0.65	0.0046	-0.00035
-0.031	-0.21	-0.0001	0.31	-0.14	-0.024	-0.096	0.36	0.008	0.63	0.0033	-0.00027
-0.0022	-0.21	-0.0023	0.28	0.069	-0.019	-0.097	0.34	0.0079	0.61	0.0037	-0.00019
0.024	-0.2	-0.0039	0.075	0.23	-0.014	-0.096	0.32	0.0076	0.6	0.0056	-0.00013
0.03	-0.17	-0.0051	0.07	0.22	-0.0095	-0.094	0.3	0.0071	0.6	0.0081	-0.0001
0.035	-0.15	-0.0059	0.028	0.29	-0.0058	-0.09	0.29	0.0066	0.59	0.011	-0.0001
