Pn(m),Pe(m),Pd(m),Vn(m/s),Ve(m/s),Vd(m/s),phi(rad),theta(rad)psi(rad),,p(rad/s),q(rad/s),r(rad/s)
0.022464910364018,0.019665063344062,0.155026791243809,-0.034160089616414,0.002963504794058,-0.355032913553027,-0.007810310426144,0.009405744002283,5.93E-05,0.000205832130507,-0.030248516634064,-0.00021476148813
0.019753458324747,0.020373884842833,0.119031610290311,-0.019859333606047,0.01115378981887,-0.363063010687196,-0.00819568817853,0.006949588713258,7.93E-05,-0.007722161003844,-0.018432474715339,-0.000179458444691
0.018497207728555,0.021874657452683,0.082716120105445,-0.005424809472008,0.018714031140516,-0.361645883874889,-0.009327496681512,0.005664790797411,7.99E-05,-0.014813929504706,-0.006970432008769,0.00037963325679
0.018645643291946,0.024059496970672,0.047049455997142,0.008322877239954,0.024569520522528,-0.349724677100138,-0.011076549636058,0.005506920525678,7.14E-05,-0.019390888595869,0.003700452442861,-0.000415949188019
0.020163722380439,0.026733162974164,0.012954575563358,0.022142952103979,0.028787483819637,-0.330177525013572,-0.013237256890499,0.006381824768108,6.80E-05,-0.022958295034089,0.013635350621696,-0.000287630308679
0.023033744244528,0.029780865749074,-0.018757150587984,0.034765588377011,0.031945360911758,-0.30238164730261,-0.015651388209156,0.008230672115459,2.89E-05,-0.025113525522806,0.023023446616845,0.000771195998151
0.027051498679323,0.033064324395961,-0.047341967592585,0.045436607666347,0.033377146811678,-0.268605360938749,-0.018234369413526,0.010931480154812,-2.27E-05,-0.02606349326452,0.030662403973545,-0.000514498040218
0.032049083471476,0.036416621775247,-0.072288124882866,0.05395096495492,0.033623077185407,-0.229199177940076,-0.020809610506186,0.014314563416683,-7.12E-05,-0.025126723910022,0.036484899073937,-0.000257212906932
0.037745190039461,0.039754527182754,-0.093001429356314,0.059585763900529,0.032844914643467,-0.183978494379555,-0.023284680455728,0.018184093998381,-0.000155990631747,-0.024111582883801,0.040551209147499,0.001002471822152
0.043839367912751,0.042903652771684,-0.108983584049425,0.061424256256432,0.029615435069634,-0.13588715308941,-0.025556762281969,0.022321103217981,-0.00024694345369,-0.021063585721764,0.041882813183813,-0.000352221911483
0.049876958857962,0.045576033984247,-0.120205276991789,0.058672942139505,0.023342382548253,-0.088728515023441,-0.027403629311875,0.026425227264316,-0.000317691982501,-0.015367723539445,0.03955951410569,-8.86E-05
0.055448011477489,0.047503610812872,-0.126774917480955,0.05215237184404,0.015017583760814,-0.042784303786274,-0.028586475086428,0.030180322247112,-0.000403044985455,-0.007938189095402,0.035023696441754,0.001297259135656
0.06018552146647,0.048534946736343,-0.128794133744901,0.041982755406183,0.005358879138626,0.002191611123619,-0.028964481638333,0.033323001869417,-0.000465241320466,0.000536817556901,0.027569958579367,-0.000283971060033
0.063795092239994,0.048588546399869,-0.126447764920136,0.03034805655578,-0.003895953487993,0.043785163189133,-0.028465242785654,0.035614617183159,-0.000475309561617,0.009127916435239,0.018181899308142,3.14E-06
0.0662794425593,0.047834310843613,-0.12020151733008,0.019422021525827,-0.01081591069557,0.08039399711231,-0.027210029661201,0.037007024263647,-0.000486731721697,0.015601154879647,0.009709096280813,0.001555565448943
0.06768353641258,0.04646702502875,-0.110531583397751,0.008618841238901,-0.016486472749772,0.112247690804664,-0.025430310354086,0.037571780662446,-0.000470944217885,0.019921683573921,0.001654031024166,-0.000430964621603
0.067964292489347,0.044567701330841,-0.097986292609658,-0.00332671901723,-0.021225597679065,0.137133451169962,-0.023255446215335,0.037335821952637,-0.000408496430986,0.023195992930677,-0.006499900885407,-0.00012767861863
