%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z,field.wrench.force.x,field.wrench.force.y,field.wrench.force.z,field.wrench.torque.x,field.wrench.torque.y,field.wrench.torque.z,field.valid
1565825445028986892,186060,1565825445028986892,,0.555486585382,-0.520470908149,0.39486750601,-0.168161154283,0.665683661243,-0.178037786359,0.704903990606,-0.16930303953,0.239736327909,0.0689826162284,-0.117317927156,-0.0114826403929,-0.0528612210929,-1.28941345096,3.47436051022,-0.919101164922,0.880471643167,-0.534141213508,0.538894793933,1
1565825445038966783,186061,1565825445038966783,,0.556277468857,-0.517692888733,0.395497603691,-0.167897563609,0.665191211207,-0.178737359986,0.705254575889,-0.173912352409,0.233497753732,0.0757462778672,-0.00471431710098,-0.00342796747678,-0.063409954982,-1.60667393858,1.31853039286,-0.15369310607,0.227936146337,-0.557118115505,0.565149189329,1
1565825445048966571,186062,1565825445048966571,,0.557178370028,-0.514688422794,0.396043525122,-0.168187406941,0.664748461808,-0.178914696544,0.705557942363,-0.182811764188,0.227498973862,0.0852997603648,0.121204871051,-0.0918983744326,-0.0622214802626,-1.47776275036,-1.2104481735,0.872655006107,-0.458065006807,-0.0988126013719,0.641900917066,1
1565825445058965167,186063,1565825445058965167,,0.558072648867,-0.511569477617,0.396508146602,-0.168610897838,0.664817520851,-0.178853593571,0.705407273259,-0.189225616634,0.246219483267,0.0904596674673,-0.0332033606198,-0.0638984167744,-0.0599833641045,-3.33933529004,3.16843709782,-0.287147497831,0.596097356868,-0.0358869302444,0.508240092055,1
1565825445068963872,186064,1565825445068963872,,0.559046749309,-0.508340949754,0.397217866416,-0.168642691515,0.664245151942,-0.17935987614,0.705810212133,-0.195350376741,0.255327347355,0.0943728156261,-0.025470882386,-0.0360561367257,-0.0644408141871,-3.61949712247,4.45683075707,-1.4626252436,0.827473216198,-0.170499800842,0.561430088423,1
1565825445078964978,186065,1565825445078964978,,0.560116803768,-0.505035726337,0.397915559685,-0.16868888253,0.663576686915,-0.179724041183,0.706335126207,-0.21018969636,0.255901808745,0.101645691381,0.1101049247,-0.139394692123,-0.0641502095798,-2.9892347155,1.73620895444,-0.898363793862,0.105128564127,-0.00231655103045,0.72358238339,1
1565825445088965734,186066,1565825445088965734,,0.561126766859,-0.501532993878,0.398411576574,-0.169061502393,0.663596863974,-0.179595031713,0.706259892049,-0.209900695473,0.271850716258,0.105980576256,0.0273305085431,-0.0925918761939,-0.0485859251578,-4.49406165538,4.29196329967,-1.26269653835,0.682284174557,-0.00434656729429,0.70645147136,1
1565825445098962930,186067,1565825445098962930,,0.56224207569,-0.497839402003,0.399022573532,-0.169262274409,0.663166827343,-0.17962356485,0.706608389792,-0.215598727404,0.294986537922,0.10969719803,-0.068948621442,-0.0323708533941,-0.0388634395363,-4.11940148219,4.02834740673,-0.362952010306,0.89805093031,0.0898547210787,0.519194111271,1
1565825445108969282,186068,1565825445108969282,,0.5633929041,-0.494027214821,0.39971283152,-0.169266324986,0.662549832695,-0.179807107052,0.707139331869,-0.231186023167,0.302442341433,0.113293128742,0.0282091619801,-0.136786612725,-0.0215227713689,-2.75398164451,0.923986663726,0.691519975272,0.188295538204,0.195560447045,0.639661754398,1
1565825445118965545,186069,1565825445118965545,,0.564549017485,-0.490069791,0.400237789937,-0.169367846526,0.662449305486,-0.179621697369,0.707256315672,-0.232056409204,0.313901178629,0.1182420984,0.0441003183545,-0.11673138268,-0.0118392168995,-3.59506641239,2.69839984067,-0.103797959143,0.344022379731,0.101317824942,0.632113391003,1
1565825445128962650,186070,1565825445128962650,,0.565708207043,-0.485892939306,0.400906627636,-0.169629640922,0.662032347682,-0.179499763105,0.70761486035,-0.236650956122,0.33410668452,0.116433941803,-0.0531318715561,-0.0597365396538,-0.00497465696703,-4.61551270973,6.36301141612,-1.40899697241,1.21879273461,0.0747015697796,0.529766945838,1
1565825445138960301,186071,1565825445138960301,,0.566807455688,-0.481670232862,0.401343111113,-0.169146038494,0.661732335683,-0.179623703769,0.707979702123,-0.241914117902,0.348351741787,0.11482413127,0.0173944229263,-0.105746112788,0.0254523846702,-3.39441962087,4.81771112899,-1.21746113597,0.720305085466,0.267247853312,0.588069964917,1
